ID	Old assigned taxonomy	New assigned taxonomy	Type of change
43720	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__GGB24500|s__GGB24500_SGB43720|t__SGB43720	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes|t__SGB43720	From uSGB to kSGB
44076	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmata_unclassified|f__Thermoplasmata_unclassified|g__Thermoplasmata_unclassified|s__Thermoplasmata_unclassified_SGB44076|t__SGB44076	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__methanogenic_archaeon|t__SGB44076	From uSGB to kSGB
44078	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__GGB30856|s__GGB30856_SGB44078|t__SGB44078	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__methanogenic_archaeon|t__SGB44078	From uSGB to kSGB
44393	k__Bacteria|p__Firmicutes|c__CFGB10205|o__OFGB10205|f__FGB10205|g__GGB31121|s__GGB31121_SGB44393|t__SGB44393	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB44393	From uSGB to kSGB
44486	k__Bacteria|p__Firmicutes|c__CFGB10217|o__OFGB10217|f__FGB10217|g__GGB31192|s__GGB31192_SGB44486|t__SGB44486	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelothrix|s__Erysipelothrix_rhusiopathiae|t__SGB44486	From uSGB to kSGB
44535	k__Bacteria|p__Firmicutes|c__CFGB10244|o__OFGB10244|f__FGB10244|g__GGB31234|s__GGB31234_SGB44535|t__SGB44535	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB44535	From uSGB to kSGB
44542	k__Bacteria|p__Firmicutes|c__CFGB10249|o__OFGB10249|f__FGB10249|g__GGB31241|s__GGB31241_SGB44542|t__SGB44542	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB44542	From uSGB to kSGB
44543	k__Bacteria|p__Firmicutes|c__CFGB10249|o__OFGB10249|f__FGB10249|g__GGB31241|s__GGB31241_SGB44543|t__SGB44543	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB44543	From uSGB to kSGB
44544	k__Bacteria|p__Firmicutes|c__CFGB10249|o__OFGB10249|f__FGB10249|g__GGB31241|s__GGB31241_SGB44544|t__SGB44544	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB44544	From uSGB to kSGB
44546	k__Bacteria|p__Firmicutes|c__CFGB10249|o__OFGB10249|f__FGB10249|g__GGB31242|s__GGB31242_SGB44546|t__SGB44546	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB44546	From uSGB to kSGB
