FGB ID	Number of Families	Family names
FGB83	1	f__Methanomicrobiaceae
FGB86	1	f__Methanoregulaceae
FGB92	1	f__Methanomicrobiaceae
FGB93	1	f__Methanocellaceae
FGB100	1	f__Haloferacaceae
FGB101	8	f__Halobacteriales_unclassified,f__Halorubraceae,f__Haloferacales_unclassified,f__Haloarculaceae,f__Natrialbaceae,f__Halococcaceae,f__Halobacteriaceae,f__Haloferacaceae
FGB104	1	f__Ferroplasmaceae
FGB105	2	f__Ferroplasmaceae,f__Picrophilaceae
FGB106	1	f__Cuniculiplasmataceae
FGB108	1	f__Thermoplasmataceae
FGB118	5	f__Methanomassiliicoccaceae,f__Methanomicrobiales_unclassified,f__Thermoplasmatales_unclassified,f__Candidatus_Methanomethylophilaceae,f__Methanomassiliicoccales_unclassified
FGB122	1	f__Gammaproteobacteria_unclassified
FGB167	2	f__Nitrosopumilaceae,f__Thaumarchaeota_unclassified
FGB169	1	f__Thaumarchaeota_unclassified
FGB170	2	f__Nitrosopumilaceae,f__Thaumarchaeota_unclassified
FGB179	1	f__Haloarculaceae
FGB190	1	f__Candidatus_Methanoperedenaceae
FGB191	1	f__Methanosarcinaceae
FGB193	1	f__Methanosarcinaceae
FGB194	1	f__Methanosarcinaceae
FGB195	1	f__Methanosarcinaceae
FGB206	2	f__Halobacteriaceae,f__Caldisphaeraceae
FGB208	2	f__Nanoarchaeaceae,f__Haloferacaceae
FGB209	2	f__Halorubraceae,f__Methanocaldococcaceae
FGB210	1	f__Methanococcaceae
FGB217	1	f__Methanobacteriaceae
FGB218	1	f__Methanobacteriaceae
FGB220	1	f__Methanobacteriaceae
FGB221	2	f__Natrialbaceae,f__Methanobacteriaceae
FGB222	1	f__Methanobacteriaceae
FGB233	1	f__Peptostreptococcaceae
FGB241	1	f__Archaeoglobaceae
FGB243	1	f__Archaeoglobaceae
FGB259	1	f__Thermoproteaceae
FGB261	1	f__Thermoproteaceae
FGB264	1	f__Candidatus_Thermoplasmatota_unclassified
FGB265	1	f__Thermofilaceae
FGB270	1	f__Fervidicoccaceae
FGB277	1	f__Nitrososphaeraceae
FGB278	1	f__Nitrososphaeraceae
FGB279	1	f__Sulfolobaceae
FGB280	1	f__Sulfolobaceae
FGB281	1	f__Sulfolobaceae
FGB282	1	f__Sulfolobaceae
FGB283	1	f__Thermococcaceae
FGB286	1	f__Candidatus_Korarchaeota_unclassified
FGB288	1	f__Desulfurococcaceae
FGB289	1	f__Desulfurococcaceae
FGB290	1	f__Desulfurococcaceae
FGB291	3	f__Desulfurococcaceae,f__Pyrodictiaceae,f__Acidilobaceae
