ID	Old assigned taxonomy	New assigned taxonomy	Type of change
124	k__Bacteria|p__Proteobacteria|c__CFGB72|o__OFGB72|f__FGB72|g__GGB105|s__GGB105_SGB124|t__SGB124	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB124	From uSGB to kSGB
372	k__Archaea|p__Euryarchaeota|c__CFGB117|o__OFGB117|f__FGB117|g__GGB267|s__GGB267_SGB372|t__SGB372	k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon|t__SGB372	From uSGB to kSGB
376	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__GGB269|s__GGB269_SGB376|t__SGB376	k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon|t__SGB376	From uSGB to kSGB
381	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__GGB273|s__GGB273_SGB381|t__SGB381	k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccaceae_unclassified|s__Methanomassiliicoccaceae_archaeon_DOK|t__SGB381	From uSGB to kSGB
384	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__GGB275|s__GGB275_SGB384|t__SGB384	k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon|t__SGB384	From uSGB to kSGB
617	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__GGB458|s__GGB458_SGB617|t__SGB617	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanolobus|s__Methanolobus_zinderi|t__SGB617	From uSGB to kSGB
711	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532|s__GGB532_SGB711|t__SGB711	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae_unclassified|s__Methanobacteriaceae_archaeon|t__SGB711	From uSGB to kSGB
955	k__Bacteria|p__Firmicutes|c__CFGB320|o__OFGB320|f__FGB320|g__GGB741|s__GGB741_SGB955|t__SGB955	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB955	From uSGB to kSGB
969	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_SGB969|t__SGB969	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Lancefieldella|s__Lancefieldella_parvula|t__SGB969	From uSGB to kSGB
993	k__Bacteria|p__Firmicutes|c__CFGB330|o__OFGB330|f__FGB330|g__GGB756|s__GGB756_SGB993|t__SGB993	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium|t__SGB993	From uSGB to kSGB
994	k__Bacteria|p__Firmicutes|c__CFGB330|o__OFGB330|f__FGB330|g__GGB756|s__GGB756_SGB994|t__SGB994	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium|t__SGB994	From uSGB to kSGB
1001	k__Bacteria|p__Firmicutes|c__CFGB336|o__OFGB336|f__FGB336|g__GGB763|s__GGB763_SGB1001|t__SGB1001	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium|t__SGB1001	From uSGB to kSGB
1002	k__Bacteria|p__Firmicutes|c__CFGB336|o__OFGB336|f__FGB336|g__GGB763|s__GGB763_SGB1002|t__SGB1002	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium|t__SGB1002	From uSGB to kSGB
1005	k__Bacteria|p__Firmicutes|c__CFGB337|o__OFGB337|f__FGB337|g__GGB765|s__GGB765_SGB1005|t__SGB1005	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium|t__SGB1005	From uSGB to kSGB
1016	k__Bacteria|p__Firmicutes|c__CFGB341|o__OFGB341|f__FGB341|g__GGB775|s__GGB775_SGB1016|t__SGB1016	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium|t__SGB1016	From uSGB to kSGB
1017	k__Bacteria|p__Firmicutes|c__CFGB341|o__OFGB341|f__FGB341|g__GGB775|s__GGB775_SGB1017|t__SGB1017	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium|t__SGB1017	From uSGB to kSGB
1021	k__Bacteria|p__Firmicutes|c__CFGB342|o__OFGB342|f__FGB342|g__GGB778|s__GGB778_SGB1021|t__SGB1021	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium|t__SGB1021	From uSGB to kSGB
1022	k__Bacteria|p__Firmicutes|c__CFGB342|o__OFGB342|f__FGB342|g__GGB779|s__GGB779_SGB1022|t__SGB1022	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium|t__SGB1022	From uSGB to kSGB
1037	k__Bacteria|p__Proteobacteria|c__CFGB355|o__OFGB355|f__FGB355|g__GGB794|s__GGB794_SGB1037|t__SGB1037	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified|f__Deltaproteobacteria_unclassified|g__Deltaproteobacteria_unclassified|s__Deltaproteobacteria_bacterium|t__SGB1037	From uSGB to kSGB
1303	k__Bacteria|p__Bacteroidetes|c__CFGB484|o__OFGB484|f__FGB484|g__GGB1010|s__GGB1010_SGB1303|t__SGB1303	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_unclassified|s__Rikenellaceae_bacterium|t__SGB1303	From uSGB to kSGB
1332	k__Bacteria|p__Bacteroidetes|c__CFGB503|o__OFGB503|f__FGB503|g__GGB1035|s__GGB1035_SGB1332|t__SGB1332	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium|t__SGB1332	From uSGB to kSGB
1333	k__Bacteria|p__Bacteroidetes|c__CFGB503|o__OFGB503|f__FGB503|g__GGB1035|s__GGB1035_SGB1333|t__SGB1333	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium|t__SGB1333	From uSGB to kSGB
1370	k__Bacteria|p__Bacteroidetes|c__CFGB511|o__OFGB511|f__FGB511|g__GGB1066|s__GGB1066_SGB1370|t__SGB1370	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium|t__SGB1370	From uSGB to kSGB
1371	k__Bacteria|p__Bacteroidetes|c__CFGB511|o__OFGB511|f__FGB511|g__GGB1067|s__GGB1067_SGB1371|t__SGB1371	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium|t__SGB1371	From uSGB to kSGB
1404	k__Bacteria|p__Bacteroidetes|c__CFGB529|o__OFGB529|f__FGB529|g__GGB1093|s__GGB1093_SGB1404|t__SGB1404	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_unclassified|s__Bacteroidaceae_bacterium|t__SGB1404	From uSGB to kSGB
1408	k__Bacteria|p__Bacteroidetes|c__CFGB530|o__OFGB530|f__FGB530|g__GGB1096|s__GGB1096_SGB1408|t__SGB1408	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_unclassified|s__Bacteroidaceae_bacterium|t__SGB1408	From uSGB to kSGB
1415	k__Bacteria|p__Bacteroidetes|c__CFGB535|o__OFGB535|f__FGB535|g__GGB1101|s__GGB1101_SGB1415|t__SGB1415	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_unclassified|s__Bacteroidaceae_bacterium|t__SGB1415	From uSGB to kSGB
